City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vung tau,10.346,107.0843,300.81,73,19,6.1,VN,1707114729
84,arraial do cabo,-22.9661,-42.0278,297.79,90,100,6.39,BR,1707114782
85,albany,42.6001,-73.9662,270.02,74,6,1.61,US,1707114782
86,whitehorse,60.7161,-135.0538,250.58,64,75,2.06,CA,1707114782
87,marks,51.7111,46.7486,272.68,91,100,5.66,RU,1707114783
88,barika,35.389,5.3658,282.66,51,0,0.89,DZ,1707114783
89,invercargill,-46.4,168.35,297.05,55,100,3.13,NZ,1707114783
90,tikhvin,59.6451,33.5294,264.69,98,100,1.21,RU,1707114783
91,contramaestre,20.2978,-76.2414,293.72,89,1,1.63,CU,1707114784
92,port mathurin,-19.6833,63.4167,299.72,60,6,4.35,MU,1707114784
93,freetown,8.484,-13.2299,297.52,79,88,1.01,SL,1707114784
94,bredasdorp,-34.5322,20.0403,298.19,68,22,2.22,ZA,1707114784
95,eyl,7.9803,49.8164,302.22,53,12,9.14,SO,1707114785
96,sanshui,23.1549,112.8916,288.65,24,88,3.28,CN,1707114785
97,noshiro,40.2039,140.0242,274.61,58,100,3.23,JP,1707114785
98,nouadhibou,20.931,-17.0347,292.14,39,4,6.17,MR,1707114785
99,iqaluit,63.7506,-68.5145,248.0,70,75,1.03,CA,1707115204
100,vilhena,-12.7406,-60.1458,292.55,99,99,1.04,BR,1707114653
101,lata,40.1629,-8.3327,282.83,82,100,0.85,PT,1707114786
102,aromashevo,56.8602,68.6375,268.78,95,100,6.59,RU,1707114740
103,sambava,-14.2667,50.1667,301.91,69,96,3.83,MG,1707114787
104,port lincoln,-34.7333,135.8667,291.62,53,0,9.5,AU,1707114787
105,bethel,41.3712,-73.414,274.35,65,0,1.54,US,1707115202
106,atafu village,-8.5421,-172.5159,301.89,81,100,10.65,TK,1707114787
107,isangel,-19.55,169.2667,300.21,94,75,4.12,VU,1707114788
108,al bardiyah,31.7561,25.0865,286.65,75,39,5.84,LY,1707114788
